old_discipline,new_discipline
oceanography,Oceanography
atmosphere,Atmospheric Science
aerial imagery/basemaps,Data science
biology,Biology
soil science,Soil Science
ecology,Ecology
ice/snow cover,Cryology
glaciology,Glaciology
limnology/hydrology,Hydrology
permafrost,Cryology
model output,Data science
climate,Atmospheric Science
anthropology,Anthropology
ice cores,Cryology
geology/geophysics,Geology
paleontology/paleoecology,Paleontology
environmental management,Human Geography
cyberinfrastructure,Computer Science
archaeology,Archaeology
fisheries,Agricultural Research
economics,Economics
political science,Political Science
